SchoolCode,GPAcoef,SATcoef,Intercept,Weight,College
B:102234,4.14716691,0.05822359,-69.302102,1,Spring Hill College
B:177144,9.64191378,0.04109214,-59.855549,1,Culver-Stockton College
H:149505,8.50746318,0.03698159,-57.287761,1,Trinity Christian College
B:229063,11.7551229,0.02666138,-50.38138,1,Texas Southern University (HBCU)
H:164465,2.22423989,0.04906216,-75.439079,1,Amherst College
B:190150,21.4032717,0.00012806,-89.290658,1,Columbia University in the City of New York
H:233374,10.3882971,0.02643549,-69.826608,1,University of Richmond
B:120254,7.63324134,0.03119042,-67.590284,1,Occidental College
H:131469,11.4547082,0.02140586,-68.286966,1,George Washington University
B:178396,7.01795517,0.03233137,-54.886915,1,University of Missouri-Columbia
B:148131,3.58510847,0.04085756,-45.115632,1,Quincy University
H:150455,12.1057505,0.01954527,-58.788243,1,Earlham College
B:174066,5.75936272,0.03322783,-59.951318,1,University of Minnesota-Twin Cities
H:197869,6.22622587,0.0318653,-55.084687,1,Appalachian State University
B:152673,10.8037259,0.01986687,-54.7544,1,Wabash College (Male only)
B:153834,9.28692003,0.02209986,-47.64936,1,Luther College
B:152390,12.0244705,0.01513517,-48.030182,1,Saint Mary's College (Female only)
B:100654,6.4819194,0.02864437,-36.02814,1,Alabama A & M University (HBCU)
H:120254,6.32930067,0.02767458,-59.891924,1,Occidental College
H:170082,11.1256411,0.01563405,-47.341252,1,Grand Valley State University
B:149505,7.81262013,0.02332493,-41.984115,1,Trinity Christian College
B:135726,8.34423733,0.02151302,-55.236874,1,University of Miami
H:239318,5.657653,0.027888,-48.99301,1,Milwaukee School of Engineering
B:117946,2.80959614,0.03466172,-46.863524,1,Loyola Marymount University
B:232937,7.42962797,0.02263124,-36.745257,1,Norfolk State University (HBCU)
H:164924,6.43877324,0.02498688,-56.284021,1,Boston College
W:170532,10.4706733,0.01450332,-53.247755,1,Kalamazoo College
B:143288,8.58401102,0.01894404,-39.695961,1,Blackburn College
B:221838,9.74579448,0.01578759,-36.346433,1,Tennessee State University (HBCU)
H:153834,8.56143871,0.01873798,-42.823806,1,Luther College
B:169910,7.79886298,0.02005313,-38.760608,1,Ferris State University
H:240329,9.54357164,0.01512921,-44.499617,1,University of Wisconsin-La Crosse
H:147244,7.48402059,0.02002522,-37.483981,1,Millikin University
H:143288,6.946478,0.02073722,-37.107227,1,Blackburn College
B:137847,5.25684633,0.02488782,-39.54255,1,The University of Tampa
B:143118,3.12214595,0.02998979,-36.481186,1,Aurora University
B:154095,8.61930244,0.01585184,-38.905563,1,University of Northern Iowa
H:230959,10.1407908,0.01185254,-54.705571,1,Middlebury College
H:153144,6.97632927,0.0194241,-39.673676,1,Coe College
H:209056,8.48702311,0.01541874,-45.580471,1,Lewis & Clark College
B:211291,2.54909465,0.03010892,-49.003733,1,Bucknell University
B:197869,2.45578227,0.03028431,-39.555072,1,Appalachian State University
B:153144,6.09898924,0.02117535,-37.892434,1,Coe College
B:176965,4.94942103,0.02396209,-35.634528,1,University of Central Missouri
B:215062,6.2561455,0.0204544,-52.496493,1,University of Pennsylvania
B:153658,6.6367687,0.01856939,-37.856364,1,University of Iowa
H:174817,5.66027165,0.02074659,-31.573817,1,Saint Mary's University of Minnesota
H:146481,8.4381665,0.01370174,-42.388172,1,Lake Forest College
B:202480,7.0986474,0.0169482,-37.451325,1,University of Dayton
H:149222,4.43982892,0.0234531,-32.068649,1,Southern Illinois University-Carbondale
B:146427,6.1607256,0.01851638,-39.16123,1,Knox College
H:174066,8.38943669,0.01279787,-43.177209,1,University of Minnesota-Twin Cities
B:169798,5.34454381,0.02025158,-30.579226,1,Eastern Michigan University
H:204024,4.34144367,0.02235328,-38.202133,1,Miami University-Oxford
H:146427,7.32119846,0.01488508,-38.98494,1,Knox College
B:190099,9.60562162,0.00896033,-46.612366,1,Colgate University
B:169080,5.00092028,0.02043536,-33.355768,1,Calvin University
B:148584,6.81679112,0.01583395,-33.663616,1,University of St Francis
B:170082,6.96115007,0.01545312,-34.732544,1,Grand Valley State University
B:150774,5.34563845,0.01945119,-31.476131,1,Holy Cross College
H:148654,4.86777439,0.02036629,-30.758861,1,University of Illinois at Springfield
B:172699,9.33185551,0.0090569,-31.237991,1,Western Michigan University
W:145725,5.88043261,0.01739862,-38.558833,1,Illinois Institute of Technology
B:122612,4.60116885,0.02046616,-37.488702,1,University of San Francisco
W:170301,5.74817703,0.01736643,-38.605704,1,Hope College
W:145637,7.72313912,0.01241507,-39.586539,1,University of Illinois at Urbana-Champaign
H:215062,8.08801361,0.01130312,-49.155114,1,University of Pennsylvania
B:159009,3.41819604,0.02269353,-29.049763,1,Grambling State University (HBCU)
B:229267,3.83307292,0.02144728,-39.950672,1,Trinity University
B:216597,4.99726493,0.01849988,-39.590104,1,Villanova University
