Index,GPA,SAT,Strategy
4.3:710,4.3,710,4
4.2:710,4.2,710,4
4.1:710,4.1,710,4
4.0:710,4,710,5
3.9:710,3.9,710,5
3.8:710,3.8,710,5
3.7:710,3.7,710,5
3.6:710,3.6,710,7
3.5:710,3.5,710,7
3.4:710,3.4,710,7
3.3:710,3.3,710,7
3.2:710,3.2,710,8
3.1:710,3.1,710,8
3.0:710,3,710,9
2.9:710,2.9,710,9
2.8:710,2.8,710,11
2.7:710,2.7,710,11
2.6:710,2.6,710,11
2.5:710,2.5,710,11
2.4:710,2.4,710,11
2.3:710,2.3,710,11
2.2:710,2.2,710,11
2.1:710,2.1,710,11
2.0:710,2,710,11
1.9:710,1.9,710,11
1.8:710,1.8,710,11
1.7:710,1.7,710,11
1.6:710,1.6,710,11
1.5:710,1.5,710,11
4.3:760,4.3,760,4
4.2:760,4.2,760,4
4.1:760,4.1,760,4
4.0:760,4,760,4
3.9:760,3.9,760,5
3.8:760,3.8,760,5
3.7:760,3.7,760,5
3.6:760,3.6,760,5
3.5:760,3.5,760,7
3.4:760,3.4,760,7
3.3:760,3.3,760,7
3.2:760,3.2,760,7
3.1:760,3.1,760,8
3.0:760,3,760,8
2.9:760,2.9,760,9
2.8:760,2.8,760,9
2.7:760,2.7,760,9
2.6:760,2.6,760,9
2.5:760,2.5,760,11
2.4:760,2.4,760,11
2.3:760,2.3,760,11
2.2:760,2.2,760,11
2.1:760,2.1,760,11
2.0:760,2,760,11
1.9:760,1.9,760,11
1.8:760,1.8,760,11
1.7:760,1.7,760,11
1.6:760,1.6,760,11
1.5:760,1.5,760,11
4.3:800,4.3,800,4
4.2:800,4.2,800,4
4.1:800,4.1,800,4
4.0:800,4,800,4
3.9:800,3.9,800,5
3.8:800,3.8,800,5
3.7:800,3.7,800,5
3.6:800,3.6,800,5
3.5:800,3.5,800,5
3.4:800,3.4,800,7
3.3:800,3.3,800,7
3.2:800,3.2,800,7
3.1:800,3.1,800,7
3.0:800,3,800,8
2.9:800,2.9,800,8
2.8:800,2.8,800,8
2.7:800,2.7,800,9
2.6:800,2.6,800,9
2.5:800,2.5,800,9
2.4:800,2.4,800,9
2.3:800,2.3,800,11
2.2:800,2.2,800,11
2.1:800,2.1,800,11
2.0:800,2,800,11
1.9:800,1.9,800,11
1.8:800,1.8,800,11
1.7:800,1.7,800,11
1.6:800,1.6,800,11
1.5:800,1.5,800,11
4.3:850,4.3,850,4
4.2:850,4.2,850,4
4.1:850,4.1,850,4
4.0:850,4,850,4
3.9:850,3.9,850,4
3.8:850,3.8,850,5
3.7:850,3.7,850,5
3.6:850,3.6,850,5
3.5:850,3.5,850,5
3.4:850,3.4,850,5
3.3:850,3.3,850,7
3.2:850,3.2,850,7
3.1:850,3.1,850,7
3.0:850,3,850,7
2.9:850,2.9,850,8
2.8:850,2.8,850,8
2.7:850,2.7,850,8
2.6:850,2.6,850,9
2.5:850,2.5,850,9
2.4:850,2.4,850,9
2.3:850,2.3,850,9
2.2:850,2.2,850,10
2.1:850,2.1,850,10
2.0:850,2,850,11
1.9:850,1.9,850,11
1.8:850,1.8,850,11
1.7:850,1.7,850,11
1.6:850,1.6,850,11
1.5:850,1.5,850,11
4.3:890,4.3,890,4
4.2:890,4.2,890,4
4.1:890,4.1,890,4
4.0:890,4,890,4
3.9:890,3.9,890,4
3.8:890,3.8,890,4
3.7:890,3.7,890,5
3.6:890,3.6,890,5
3.5:890,3.5,890,5
3.4:890,3.4,890,5
3.3:890,3.3,890,5
3.2:890,3.2,890,6
3.1:890,3.1,890,7
3.0:890,3,890,7
2.9:890,2.9,890,7
2.8:890,2.8,890,8
2.7:890,2.7,890,8
2.6:890,2.6,890,8
2.5:890,2.5,890,9
2.4:890,2.4,890,9
2.3:890,2.3,890,9
2.2:890,2.2,890,9
2.1:890,2.1,890,10
2.0:890,2,890,10
1.9:890,1.9,890,10
1.8:890,1.8,890,10
1.7:890,1.7,890,11
1.6:890,1.6,890,11
1.5:890,1.5,890,11
4.3:930,4.3,930,4
4.2:930,4.2,930,4
4.1:930,4.1,930,4
4.0:930,4,930,4
3.9:930,3.9,930,4
3.8:930,3.8,930,4
3.7:930,3.7,930,4
3.6:930,3.6,930,5
3.5:930,3.5,930,5
3.4:930,3.4,930,5
3.3:930,3.3,930,5
3.2:930,3.2,930,6
3.1:930,3.1,930,6
3.0:930,3,930,7
2.9:930,2.9,930,7
2.8:930,2.8,930,7
2.7:930,2.7,930,7
2.6:930,2.6,930,8
2.5:930,2.5,930,8
2.4:930,2.4,930,8
2.3:930,2.3,930,9
2.2:930,2.2,930,9
2.1:930,2.1,930,9
2.0:930,2,930,9
1.9:930,1.9,930,10
1.8:930,1.8,930,10
1.7:930,1.7,930,10
1.6:930,1.6,930,10
1.5:930,1.5,930,11
4.3:970,4.3,970,3
4.2:970,4.2,970,3
4.1:970,4.1,970,3
4.0:970,4,970,4
3.9:970,3.9,970,4
3.8:970,3.8,970,4
3.7:970,3.7,970,4
3.6:970,3.6,970,4
3.5:970,3.5,970,5
3.4:970,3.4,970,5
3.3:970,3.3,970,5
3.2:970,3.2,970,5
3.1:970,3.1,970,6
3.0:970,3,970,6
2.9:970,2.9,970,7
2.8:970,2.8,970,7
2.7:970,2.7,970,7
2.6:970,2.6,970,7
2.5:970,2.5,970,8
2.4:970,2.4,970,8
2.3:970,2.3,970,8
2.2:970,2.2,970,9
2.1:970,2.1,970,9
2.0:970,2,970,9
1.9:970,1.9,970,9
1.8:970,1.8,970,10
1.7:970,1.7,970,10
1.6:970,1.6,970,10
1.5:970,1.5,970,10
4.3:1010,4.3,1010,3
4.2:1010,4.2,1010,3
4.1:1010,4.1,1010,3
4.0:1010,4,1010,3
3.9:1010,3.9,1010,3
3.8:1010,3.8,1010,4
3.7:1010,3.7,1010,4
3.6:1010,3.6,1010,4
3.5:1010,3.5,1010,4
3.4:1010,3.4,1010,5
3.3:1010,3.3,1010,5
3.2:1010,3.2,1010,5
3.1:1010,3.1,1010,5
3.0:1010,3,1010,6
2.9:1010,2.9,1010,6
2.8:1010,2.8,1010,7
2.7:1010,2.7,1010,7
2.6:1010,2.6,1010,7
2.5:1010,2.5,1010,7
2.4:1010,2.4,1010,8
2.3:1010,2.3,1010,8
2.2:1010,2.2,1010,8
2.1:1010,2.1,1010,8
2.0:1010,2,1010,9
1.9:1010,1.9,1010,9
1.8:1010,1.8,1010,9
1.7:1010,1.7,1010,10
1.6:1010,1.6,1010,10
1.5:1010,1.5,1010,10
4.3:1040,4.3,1040,3
4.2:1040,4.2,1040,3
4.1:1040,4.1,1040,3
4.0:1040,4,1040,3
3.9:1040,3.9,1040,3
3.8:1040,3.8,1040,3
3.7:1040,3.7,1040,3
3.6:1040,3.6,1040,4
3.5:1040,3.5,1040,4
3.4:1040,3.4,1040,5
3.3:1040,3.3,1040,5
3.2:1040,3.2,1040,5
3.1:1040,3.1,1040,5
3.0:1040,3,1040,5
2.9:1040,2.9,1040,6
2.8:1040,2.8,1040,6
2.7:1040,2.7,1040,7
2.6:1040,2.6,1040,7
2.5:1040,2.5,1040,7
2.4:1040,2.4,1040,7
2.3:1040,2.3,1040,8
2.2:1040,2.2,1040,8
2.1:1040,2.1,1040,8
2.0:1040,2,1040,8
1.9:1040,1.9,1040,9
1.8:1040,1.8,1040,9
1.7:1040,1.7,1040,9
1.6:1040,1.6,1040,9
1.5:1040,1.5,1040,10
4.3:1080,4.3,1080,3
4.2:1080,4.2,1080,3
4.1:1080,4.1,1080,3
4.0:1080,4,1080,3
3.9:1080,3.9,1080,3
3.8:1080,3.8,1080,3
3.7:1080,3.7,1080,3
3.6:1080,3.6,1080,4
3.5:1080,3.5,1080,4
3.4:1080,3.4,1080,4
3.3:1080,3.3,1080,5
3.2:1080,3.2,1080,5
3.1:1080,3.1,1080,5
3.0:1080,3,1080,5
2.9:1080,2.9,1080,5
2.8:1080,2.8,1080,6
2.7:1080,2.7,1080,6
2.6:1080,2.6,1080,6
2.5:1080,2.5,1080,7
2.4:1080,2.4,1080,7
2.3:1080,2.3,1080,7
2.2:1080,2.2,1080,8
2.1:1080,2.1,1080,8
2.0:1080,2,1080,8
1.9:1080,1.9,1080,8
1.8:1080,1.8,1080,9
1.7:1080,1.7,1080,9
1.6:1080,1.6,1080,9
1.5:1080,1.5,1080,9
4.3:1110,4.3,1110,3
4.2:1110,4.2,1110,3
4.1:1110,4.1,1110,3
4.0:1110,4,1110,3
3.9:1110,3.9,1110,3
3.8:1110,3.8,1110,3
3.7:1110,3.7,1110,3
3.6:1110,3.6,1110,3
3.5:1110,3.5,1110,4
3.4:1110,3.4,1110,4
3.3:1110,3.3,1110,4
3.2:1110,3.2,1110,5
3.1:1110,3.1,1110,5
3.0:1110,3,1110,5
2.9:1110,2.9,1110,5
2.8:1110,2.8,1110,6
2.7:1110,2.7,1110,6
2.6:1110,2.6,1110,6
2.5:1110,2.5,1110,6
2.4:1110,2.4,1110,7
2.3:1110,2.3,1110,7
2.2:1110,2.2,1110,7
2.1:1110,2.1,1110,7
2.0:1110,2,1110,8
1.9:1110,1.9,1110,8
1.8:1110,1.8,1110,8
1.7:1110,1.7,1110,8
1.6:1110,1.6,1110,9
1.5:1110,1.5,1110,9
4.3:1140,4.3,1140,2
4.2:1140,4.2,1140,3
4.1:1140,4.1,1140,3
4.0:1140,4,1140,3
3.9:1140,3.9,1140,3
3.8:1140,3.8,1140,3
3.7:1140,3.7,1140,3
3.6:1140,3.6,1140,3
3.5:1140,3.5,1140,3
3.4:1140,3.4,1140,4
3.3:1140,3.3,1140,4
3.2:1140,3.2,1140,4
3.1:1140,3.1,1140,5
3.0:1140,3,1140,5
2.9:1140,2.9,1140,5
2.8:1140,2.8,1140,5
2.7:1140,2.7,1140,6
2.6:1140,2.6,1140,6
2.5:1140,2.5,1140,6
2.4:1140,2.4,1140,6
2.3:1140,2.3,1140,7
2.2:1140,2.2,1140,7
2.1:1140,2.1,1140,7
2.0:1140,2,1140,7
1.9:1140,1.9,1140,8
1.8:1140,1.8,1140,8
1.7:1140,1.7,1140,8
1.6:1140,1.6,1140,8
1.5:1140,1.5,1140,9
4.3:1180,4.3,1180,2
4.2:1180,4.2,1180,2
4.1:1180,4.1,1180,2
4.0:1180,4,1180,3
3.9:1180,3.9,1180,3
3.8:1180,3.8,1180,3
3.7:1180,3.7,1180,3
3.6:1180,3.6,1180,3
3.5:1180,3.5,1180,3
3.4:1180,3.4,1180,3
3.3:1180,3.3,1180,4
3.2:1180,3.2,1180,4
3.1:1180,3.1,1180,4
3.0:1180,3,1180,5
2.9:1180,2.9,1180,5
2.8:1180,2.8,1180,5
2.7:1180,2.7,1180,5
2.6:1180,2.6,1180,6
2.5:1180,2.5,1180,6
2.4:1180,2.4,1180,6
2.3:1180,2.3,1180,6
2.2:1180,2.2,1180,7
2.1:1180,2.1,1180,7
2.0:1180,2,1180,7
1.9:1180,1.9,1180,7
1.8:1180,1.8,1180,8
1.7:1180,1.7,1180,8
1.6:1180,1.6,1180,8
1.5:1180,1.5,1180,8
4.3:1210,4.3,1210,2
4.2:1210,4.2,1210,2
4.1:1210,4.1,1210,2
4.0:1210,4,1210,2
3.9:1210,3.9,1210,2
3.8:1210,3.8,1210,3
3.7:1210,3.7,1210,3
3.6:1210,3.6,1210,3
3.5:1210,3.5,1210,3
3.4:1210,3.4,1210,3
3.3:1210,3.3,1210,3
3.2:1210,3.2,1210,4
3.1:1210,3.1,1210,4
3.0:1210,3,1210,5
2.9:1210,2.9,1210,5
2.8:1210,2.8,1210,5
2.7:1210,2.7,1210,5
2.6:1210,2.6,1210,5
2.5:1210,2.5,1210,6
2.4:1210,2.4,1210,6
2.3:1210,2.3,1210,6
2.2:1210,2.2,1210,6
2.1:1210,2.1,1210,7
2.0:1210,2,1210,7
1.9:1210,1.9,1210,7
1.8:1210,1.8,1210,7
1.7:1210,1.7,1210,8
1.6:1210,1.6,1210,8
1.5:1210,1.5,1210,8
4.3:1240,4.3,1240,2
4.2:1240,4.2,1240,2
4.1:1240,4.1,1240,2
4.0:1240,4,1240,2
3.9:1240,3.9,1240,2
3.8:1240,3.8,1240,2
3.7:1240,3.7,1240,2
3.6:1240,3.6,1240,3
3.5:1240,3.5,1240,3
3.4:1240,3.4,1240,3
3.3:1240,3.3,1240,3
3.2:1240,3.2,1240,3
3.1:1240,3.1,1240,4
3.0:1240,3,1240,4
2.9:1240,2.9,1240,5
2.8:1240,2.8,1240,5
2.7:1240,2.7,1240,5
2.6:1240,2.6,1240,5
2.5:1240,2.5,1240,5
2.4:1240,2.4,1240,6
2.3:1240,2.3,1240,6
2.2:1240,2.2,1240,6
2.1:1240,2.1,1240,6
2.0:1240,2,1240,6
1.9:1240,1.9,1240,7
1.8:1240,1.8,1240,7
1.7:1240,1.7,1240,7
1.6:1240,1.6,1240,8
1.5:1240,1.5,1240,8
4.3:1280,4.3,1280,1
4.2:1280,4.2,1280,1
4.1:1280,4.1,1280,2
4.0:1280,4,1280,2
3.9:1280,3.9,1280,2
3.8:1280,3.8,1280,2
3.7:1280,3.7,1280,2
3.6:1280,3.6,1280,2
3.5:1280,3.5,1280,2
3.4:1280,3.4,1280,3
3.3:1280,3.3,1280,3
3.2:1280,3.2,1280,3
3.1:1280,3.1,1280,3
3.0:1280,3,1280,4
2.9:1280,2.9,1280,4
2.8:1280,2.8,1280,5
2.7:1280,2.7,1280,5
2.6:1280,2.6,1280,5
2.5:1280,2.5,1280,5
2.4:1280,2.4,1280,6
2.3:1280,2.3,1280,6
2.2:1280,2.2,1280,6
2.1:1280,2.1,1280,6
2.0:1280,2,1280,6
1.9:1280,1.9,1280,6
1.8:1280,1.8,1280,7
1.7:1280,1.7,1280,7
1.6:1280,1.6,1280,7
1.5:1280,1.5,1280,7
4.3:1310,4.3,1310,1
4.2:1310,4.2,1310,1
4.1:1310,4.1,1310,1
4.0:1310,4,1310,1
3.9:1310,3.9,1310,2
3.8:1310,3.8,1310,2
3.7:1310,3.7,1310,2
3.6:1310,3.6,1310,2
3.5:1310,3.5,1310,2
3.4:1310,3.4,1310,2
3.3:1310,3.3,1310,2
3.2:1310,3.2,1310,3
3.1:1310,3.1,1310,3
3.0:1310,3,1310,3
2.9:1310,2.9,1310,4
2.8:1310,2.8,1310,4
2.7:1310,2.7,1310,5
2.6:1310,2.6,1310,5
2.5:1310,2.5,1310,5
2.4:1310,2.4,1310,5
2.3:1310,2.3,1310,6
2.2:1310,2.2,1310,6
2.1:1310,2.1,1310,6
2.0:1310,2,1310,6
1.9:1310,1.9,1310,6
1.8:1310,1.8,1310,6
1.7:1310,1.7,1310,7
1.6:1310,1.6,1310,7
1.5:1310,1.5,1310,7
4.3:1340,4.3,1340,1
4.2:1340,4.2,1340,1
4.1:1340,4.1,1340,1
4.0:1340,4,1340,1
3.9:1340,3.9,1340,1
3.8:1340,3.8,1340,1
3.7:1340,3.7,1340,2
3.6:1340,3.6,1340,2
3.5:1340,3.5,1340,2
3.4:1340,3.4,1340,2
3.3:1340,3.3,1340,2
3.2:1340,3.2,1340,2
3.1:1340,3.1,1340,2
3.0:1340,3,1340,3
2.9:1340,2.9,1340,4
2.8:1340,2.8,1340,4
2.7:1340,2.7,1340,4
2.6:1340,2.6,1340,5
2.5:1340,2.5,1340,5
2.4:1340,2.4,1340,5
2.3:1340,2.3,1340,5
2.2:1340,2.2,1340,6
2.1:1340,2.1,1340,6
2.0:1340,2,1340,6
1.9:1340,1.9,1340,6
1.8:1340,1.8,1340,6
1.7:1340,1.7,1340,6
1.6:1340,1.6,1340,7
1.5:1340,1.5,1340,7
4.3:1370,4.3,1370,1
4.2:1370,4.2,1370,1
4.1:1370,4.1,1370,1
4.0:1370,4,1370,1
3.9:1370,3.9,1370,1
3.8:1370,3.8,1370,1
3.7:1370,3.7,1370,1
3.6:1370,3.6,1370,1
3.5:1370,3.5,1370,2
3.4:1370,3.4,1370,2
3.3:1370,3.3,1370,2
3.2:1370,3.2,1370,2
3.1:1370,3.1,1370,2
3.0:1370,3,1370,2
2.9:1370,2.9,1370,2
2.8:1370,2.8,1370,4
2.7:1370,2.7,1370,4
2.6:1370,2.6,1370,5
2.5:1370,2.5,1370,5
2.4:1370,2.4,1370,5
2.3:1370,2.3,1370,5
2.2:1370,2.2,1370,5
2.1:1370,2.1,1370,6
2.0:1370,2,1370,6
1.9:1370,1.9,1370,6
1.8:1370,1.8,1370,6
1.7:1370,1.7,1370,6
1.6:1370,1.6,1370,6
1.5:1370,1.5,1370,7
4.3:1400,4.3,1400,1
4.2:1400,4.2,1400,1
4.1:1400,4.1,1400,1
4.0:1400,4,1400,1
3.9:1400,3.9,1400,1
3.8:1400,3.8,1400,1
3.7:1400,3.7,1400,1
3.6:1400,3.6,1400,1
3.5:1400,3.5,1400,1
