Strategy,AA/H_target,AA/H_ideal,W/A_target,W/A_ideal,minus1_target,minus1_ideal
1,0.91,0.93,0.88,0.91,0.67,0.83
2,0.73,0.83,0.81,0.87,0.67,0.83
3,0.68,0.76,0.77,0.81,0.67,0.76
4,0.59,0.73,0.71,0.8,0.46,0.56
5+,0.47,0.57,0.53,0.64,0.42,0.5
5<,0.47,0.57,0.53,0.64,0.42,0.5
6+,0.45,0.49,0.53,0.61,0.42,0.5
6<,0.42,0.49,0.53,0.61,0.42,0.5
7,0.41,0.47,0.37,0.45,0.28,0.42
8,0.38,0.45,0.3,0.41,0.28,0.42
9,0.29,0.4,0.3,0.38,0.28,0.42
10,0.27,0.36,0.27,0.3,0.28,0.42
11,0.25,0.35,0.27,0.3,0.28,0.42
