Strategy,AA/H_target,AA/H_ideal,W/A_target,W/A_ideal,minus1_target,minus1_ideal
1,0.9,0.92,0.9,0.91,0.89,0.92
2,0.76,0.86,0.79,0.83,0.89,0.92
3,0.69,0.76,0.79,0.83,0.67,0.74
4,0.57,0.68,0.63,0.76,0.57,0.65
5+,0.49,0.64,0.56,0.62,0.55,0.63
5<,0.48,0.53,0.56,0.62,0.55,0.63
6+,0.44,0.5,0.56,0.62,0.45,0.49
6<,0.44,0.5,0.56,0.62,0.45,0.49
7,0.42,0.49,0.45,0.57,0.35,0.49
8,0.35,0.42,0.45,0.57,0.35,0.35
9,0.32,0.39,0.29,0.39,0.35,0.35
10,0.29,0.33,0.29,0.39,0.2,0.26
11,0.25,0.3,0.29,0.35,0.2,0.26
